port,stage,win_rate,threshold,pass,timestamp,file_name,wilson_lb,std_dev,stable,samples,margin,wilson_margin
gulfport,完整阶段,0.53,0.43,True,unknown,consistency_gulfport_20250807_194557.json,0.0,0.0,True,100,0.10000000000000003,-0.43
gulfport,标准阶段,0.47,0.49,False,unknown,consistency_gulfport_20250807_210142.json,0.0,0.0,True,100,-0.020000000000000018,-0.49
gulfport,完整阶段,0.405,0.38,True,unknown,consistency_gulfport_20250807_210142.json,0.0,0.0,True,100,0.025000000000000022,-0.38
new_orleans,基础阶段,0.5,0.35,True,unknown,consistency_new_orleans_20250807_195606.json,0.0,0.0,True,100,0.15000000000000002,-0.35
new_orleans,初级阶段,0.52,0.47,True,unknown,consistency_new_orleans_20250807_195606.json,0.0,0.0,True,100,0.050000000000000044,-0.47
new_orleans,中级阶段,0.53,0.5,True,unknown,consistency_new_orleans_20250807_195606.json,0.0,0.0,True,100,0.030000000000000027,-0.5
new_orleans,高级阶段,0.48,0.4,True,unknown,consistency_new_orleans_20250807_195606.json,0.0,0.0,True,100,0.07999999999999996,-0.4
new_orleans,专家阶段,0.46,0.3,True,unknown,consistency_new_orleans_20250807_195606.json,0.0,0.0,True,100,0.16000000000000003,-0.3
new_orleans,基础阶段,0.56,0.35,True,unknown,consistency_new_orleans_20250807_194555.json,0.0,0.0,True,100,0.21000000000000008,-0.35
new_orleans,初级阶段,0.6,0.47,True,unknown,consistency_new_orleans_20250807_194555.json,0.0,0.0,True,100,0.13,-0.47
new_orleans,中级阶段,0.53,0.5,True,unknown,consistency_new_orleans_20250807_194555.json,0.0,0.0,True,100,0.030000000000000027,-0.5
new_orleans,高级阶段,0.39,0.4,False,unknown,consistency_new_orleans_20250807_194555.json,0.0,0.0,True,100,-0.010000000000000009,-0.4
new_orleans,专家阶段,0.5,0.3,True,unknown,consistency_new_orleans_20250807_194555.json,0.0,0.0,True,100,0.2,-0.3
south_louisiana,基础阶段,0.5,0.51,False,unknown,consistency_south_louisiana_20250807_194036.json,0.0,0.0,True,100,-0.010000000000000009,-0.51
south_louisiana,中级阶段,0.56,0.55,True,unknown,consistency_south_louisiana_20250807_194036.json,0.0,0.0,True,100,0.010000000000000009,-0.55
south_louisiana,高级阶段,0.48,0.4,True,unknown,consistency_south_louisiana_20250807_194036.json,0.0,0.0,True,100,0.07999999999999996,-0.4
baton_rouge,基础阶段,0.47,0.51,False,unknown,consistency_baton_rouge_20250807_195602.json,0.0,0.0,True,100,-0.040000000000000036,-0.51
baton_rouge,中级阶段,0.44,0.55,False,unknown,consistency_baton_rouge_20250807_195602.json,0.0,0.0,True,100,-0.11000000000000004,-0.55
baton_rouge,高级阶段,0.48,0.4,True,unknown,consistency_baton_rouge_20250807_195602.json,0.0,0.0,True,100,0.07999999999999996,-0.4
